Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Candidate Id,,,,,
Left,B,Ben,,8,,,12001,,550,6000,8088,6,,g,,,
Left,B,Ben,,9,,,12001,,764,6000,8852,6,,,,,
Left,B,Ben,,10,,,11301,,1170,6000,10022,6,,,,,
Left,B,Ben,,11,,,11301,,1780,6000,11802,6,,,,,
Left,B,Ben,,12,,,11151,,251,6000,12053,6,,,,,
Left,B,Ben,Excluded,13,,13,0,,5026,6000,17079,6,,,,,
Left,B,Ben,Excluded,14,,13,0,,0,6000,0,6,,,,,
Left,B,Ben,Excluded,15,,13,0,,0,6000,10110,6,,,,,
Left,B,Bob, ,1,,,15651,,0,3100,5131,7,,,,,
Left,B,Bob, ,2,,,15651,,49,3000,5180,7,,,,,
Left,B,Bob, ,3,,,15551,,49,3000,5229,7,,,,,
Left,B,Bob, ,4,,,15551,,65,3000,5294,7,,,,,
Left,B,Bob, ,5,,,15551,,163,3000,5457,7,,,,,
Left,B,Bob, ,6,,,15551,,465,3000,5922,7,,,,,
Left,B,Bob, ,7,,,15551,,747,3000,6669,7,,,,,
Left,B,Bob, ,8,,,15101,,550,3000,7219,7,,,,,
Left,B,Bob, ,9,,,0,,764,3100,7983,7,,,,,
Left,B,Bob,,10,,,0,,1170,3100,9153,7,,,,,
Left,B,Bob,Excluded,11,,11,0,,-7122,3000,0,7,,,,,
Left,B,Bob,Excluded,12,,11,0,,0,3000,0,7,,,,,
Left,B,Bob,Excluded,13,,11,0,,0,3000,0,7,,,,,
Left,B,Bob,Excluded,14,,11,0,,0,3000,0,7,,,,,
Left,B,Bob,,15,,11,0,,0,3000,0,7,,,,,
Left,B,Beatrice,,1,,,18101,,0,650,650,8,,,,,
Left,B,Beatrice,,2,,,18101,,49,650,698,8,,,,,
Left,B,Beatrice,Excluded,3,,3,0,,-698,650,0,8,,,,,
Left,B,Beatrice,Excluded,4,,3,0,,0,650,0,8,,,,,
Left,B,Beatrice,Excluded,5,,3,0,,0,650,0,8,,,,,
Left,B,Beatrice,Excluded,6,,3,0,,0,650,0,8,,,,,
Left,B,Beatrice,Excluded,7,,3,0,,0,650,0,8,,h,,,
Left,B,Beatrice,Excluded,8,,3,0,,0,650,0,8,,,,,
Left,B,Beatrice,Excluded,9,,3,0,,0,650,0,8,,,,,
Left,B,Beatrice,Excluded,10,,3,0,,0,650,0,8,,,,,
Left,B,Beatrice,Excluded,11,,3,0,,0,650,0,8,,,,,
Left,B,Beatrice,Excluded,12,,3,0,,0,650,0,8,,,,,
Left,B,Beatrice,Excluded,13,,3,0,,0,650,0,8,,,,,
Left,B,Beatrice,Excluded,14,,3,0,,0,650,0,8,,,,,
Left,B,Beatrice,Excluded,15,,3,0,,0,650,0,8,,,,,
Ind,C,Catriona,,1,,,8751,,,10000,10000,9,,,,,
Ind,C,Catriona,,2,,,8751,,49,10000,10049,9,,,,,
Ind,C,Catriona,,3,,,8651,,49,10000,10098,9,,,,,
Ind,C,Catriona,,4,,,8651,,65,10000,10163,9,,,,,
Ind,C,Catriona,,5,,,8651,,163,10000,10326,9,,,,,
Ind,C,Catriona,,6,,,8651,,465,10000,10791,9,,,,,
Ind,C,Catriona,,7,,,8651,,747,10000,11538,9,,,,,
Ind,C,Catriona,,8,,,7801,,550,10000,12088,9,,,,,
Ind,C,Catriona,,9,,,7801,,764,10000,12852,9,,,,,
Ind,C,Catriona,,10,,,6751,,1170,10000,14022,9,,,,,
Ind,C,Catriona,,11,,,,,1780,10000,15802,9,,,,,
Ind,C,Catriona,,12,,,5891,,251,10000,16053,9,,,,,
Ind,C,Catriona,Elected,13,,13,2791,,5026,10000,21079,9,,,,,
Ind,C,Catriona,,14,,,1291,,0,10000,18751,9,,,,,
Ind,C,Catriona,Elected,15,,15,0,,1300,10000,27052,9,,,,,
Ind,C,Charlie,,1,,,15751,,0,3000,3000,10,,,,,
Ind,C,Charlie,,2,,,15751,,49,3000,3049,10,,,,,
Ind,C,Charlie,,3,,,15701,,49,3000,3098,10,,,,,
Ind,C,Charlie,,4,,,15701,,65,3000,3163,10,,,,,
Ind,C,Charlie,,5,,,15701,,163,3000,3326,10,,,,,
Ind,C,Charlie,,6,,,15701,,465,3000,3791,10,,,,,
Ind,C,Charlie,,7,,,15701,,747,3000,4538,10,,,,,
Ind,C,Charlie, ,8,,8,0,,550,3000,5088,10,,,,,
Ind,C,Charlie,Excluded,9,,8,0,,764,3000,5852,10,,,,,
Ind,C,Charlie,Excluded,10,,8,0,,-5852,3000,0,10,,,,,
Ind,C,Charlie,Excluded,11,,8,0,,0,3000,0,10,,,,,
Ind,C,Charlie,Excluded,12,,8,0,,0,3000,0,10,,,,,
Ind,C,Charlie,Excluded,13,,8,0,,0,3000,0,10,,,,,
Ind,C,Charlie,Excluded,14,,8,0,,0,3000,0,10,,,,,
Ind,C,Charlie,Excluded,15,,8,0,,0,3000,0,10,,,,,
Ind,C,Chloe,,1,,,16551,,0,2200,2200,11,,,,,
Ind,C,Chloe,,2,,,16551,,49,2200,2249,11,,,,,
Ind,C,Chloe,,3,,,16551,,49,2200,2298,11,,,,,
Ind,C,Chloe,,4,,,16551,,65,2200,2363,11,,,,,
Ind,C,Chloe,,5,,,16501,,163,2200,2526,11,,,,,
Ind,C,Chloe,,6,,,16291,,465,2200,2991,11,,,,,
Ind,C,Chloe,Excluded,7,,7,0,,-2991,2200,0,11,,,,,
Ind,C,Chloe,Excluded,8,,7,0,,0,2200,0,11,,,,,
Ind,C,Chloe,Excluded,9,,7,0,,0,2200,0,11,,,,,
Ind,C,Chloe,Excluded,10, ,7,0,,0,2200,0,11,,,,,
Ind,C,Chloe,Excluded,11,,7,0,,0,2200,0,11,,,,,
Ind,C,Chloe,Excluded,12,,7,0,,0,2200,0,11,,,,,
Ind,C,Chloe,Excluded,13,,7,0,,0,2200,0,11,,,,,
Ind,C,Chloe,Excluded,14,,7,0,,0,2200,0,11,,,,,
Ind,C,Chloe,Excluded,15,,7,0,,0,2200,0,11,,,,,
Ind,C,Cora,,1,, ,16251,,0,2500,2500,12,,,,,
Ind,C,Cora,,2,,,16251,,49,2500,2549,12,,,,,
Ind,C,Cora,,3,,,16251,,49,2500,2598,12,,,,,
Ind,C,Cora,,4,,,16251,,65,2500,2663,12,,,,,
Ind,C,Cora,,5,,,16051,,163,2500,2826,12,,,,,
Ind,C,Cora,,6,,,15851,,465,2500,3291,12,,,,,
Ind,C,Cora,,7,,,15001,,747,2500,4038,12,,,,,
Ind,C,Cora,,8,,,15001,,550,2500,4588,12,,,,,
Ind,C,Cora,Excluded,9,,9,14051,,-4588,2500,0,12,,,,,
Ind,C,Cora,Excluded,10,,9,14051,,0,2500,0,12,,,,,
Ind,C,Cora,Excluded,11,,9,13051,,0,2500,0,12,,,,,
Ind,C,Cora,Excluded,12,,9,0,,0,2500,0,12,,,,,
Ind,C,Cora,Excluded,13,,9,0,,0,2500,0,12,,,,,
Ind,C,Cora,Excluded,14,,9,0,,0,2500,0,12,,,,,
Ind,C,Cora,Excluded,15,,9,0,,0,2500,0,12,,,,,
More Right,D,Declan,,1,, ,14751,,0,4000,4000,13,,,,,
More Right,D,Declan,,2,,,14751,,49,4000,4049,13,,,,,
More Right,D,Declan,,3,,,14751,,49,4000,4098,13,,,,,
More Right,D,Declan,,4,,,14551,,65,4000,4163,13,,,,,
More Right,D,Declan,,5,,,14351,,163,4000,4326,13,,,,,
More Right,D,Declan,,6,,,13701,,465,4000,4791,13,,,,,
More Right,D,Declan,,7,,,13201,,747,4000,5538,13,,,,,
More Right,D,Declan,,8,,,13201,,550,4000,6088,13,,,,,
More Right,D,Declan,,9,,,12201,,764,4000,6852,13,,,,,
More Right,D,Declan,,10,,,12201,,1170,4000,8022,13,,,,,
More Right,D,Declan,,11,,,10701,,1780,4000,9802,13,,,,,
More Right,D,Declan,,12,,,8501,,251,4000,10053,13,,,,,
More Right,D,Declan,Excluded,13,,13,8501,,-10053,4000,0,13,,,,,
More Right,D,Declan,Excluded,14,,,8251,,0,4000,0,13,,,,,
More Right,D,Declan,Excluded,15,,0,0,,0,4000,0,13,,,,,
More Right,D,Dennis,,1,,,16751,,0,2000,2000,14,,,,,
More Right,D,Dennis,,2,,,16751,,49,2000,2049,14,,,,,
More Right,D,Dennis,,3,,,16751,,49,2000,2098,14,,,,,
More Right,D,Dennis,,4,,,16591,,65,2000,2163,14,,,,,
More Right,D,Dennis,,5,,,16591,,163,2000,2326,14,,,,,
More Right,D,Dennis,Excluded,6,,6,0,,-2326,2000,0,14,,,,,
More Right,D,Dennis,Excluded,7,,6,0,,0,2000,0,14,,,,,
More Right,D,Dennis,Excluded,8,,6,0,,0,2000,0,14,,,,,
More Right,D,Dennis,Excluded,9,,6,0,,0,2000,0,14,,,,,
More Right,D,Dennis,Excluded,10,,6,0,,0,2000,0,14,,,,,
More Right,D,Dennis,Excluded,11,,6,0,,0,2000,0,14,,,,,
More Right,D,Dennis,Excluded,12,,6,0,,0,2000,0,14,,,,,
More Right,D,Dennis,Excluded,13,,6,0,,0,2000,0,14,,,,,
More Right,D,Dennis,Excluded,14,,6,0,,0,2000,0,14,,,,,
More Right,D,Dennis,Excluded,15,,6,0,,0,2000,0,14,,,,,
More Right,D,Drew,,1,,,16501,,0,2250,2250,15,,,,,
More Right,D,Drew,,2,,,16501,,49,2250,2299,15,,,,,
More Right,D,Drew,,3,,,16501,,49,2250,2348,15,,,,,
More Right,D,Drew,,4,,,16301,,65,2250,2413,15,,,,,
More Right,D,Drew,,5,,,16251,,163,2250,2576,15,,,g,,
More Right,D,Drew,,6,,,15701,,465,2250,3041,15,,,,,
More Right,D,Drew,,7,,,15301,,747,2250,3788,15,,,,,
More Right,D,Drew,Excluded,8,,,0,,-3788,2250,0,15,,mm,,,
More Right,D,Drew,Excluded,9,,9,0,,0,2250,0,15,,,,,
More Right,D,Drew,Excluded,10,,9,0,,0,2250,0,15,,,,,
More Right,D,Drew,Excluded,11,,9,0,,0,2250,0,15,,,,,
More Right,D,Drew,Excluded,12,,9,0,,0,2250,0,15,,,,,
More Right,D,Drew,Excluded,13,,9,0,,0,2250,0,15,,,,,
More Right,D,Drew,Excluded,14,,9,0,,0,2250,0,15,,,,,
More Right,D,Drew,Excluded,15,,9,0,,0,2250,0,15,,,,,
More Right,D,Donald,,1,,,18001,,0,750,750,16,,,,,
More Right,D,Donald,,2,,,18001,,49,750,799,16,,,,,
More Right,D,Donald,,3,,,18001,,49,750,848,16,,,,,
More Right,D,Donald,Excluded,4,,,0,,-848,750,0,16,,,,,
More Right,D,Donald,Excluded,5,,,0,,0,750,0,16,,,,,
More Right,D,Donald,Excluded,6,,,0,,0,750,0,16,,,,,
More Right,D,Donald,Excluded,7,,,0,,0,750,0,16,,,,,
More Right,D,Donald,Excluded,8,,,0,,0,750,0,16,,,,,
More Right,D,Donald,Excluded,9,,,0,,0,750,0,16,,,,,
More Right,D,Donald,Excluded,10,,,0,,0,750,0,16,,,,,
More Right,D,Donald,Excluded,11,,,0,,0,750,0,16,,,,,
More Right,D,Donald,Excluded,12,,,0,,0,750,0,16,,,,,
More Right,D,Donald,Excluded,13,,,0,,0,750,0,16,,,,,
More Right,D,Donald,Excluded,14,,,0,,0,750,0,16,,,,,
More Right,D,Donald,Excluded,15,,,0,,0,750,0,16,,,,,
