Constituency Name,Candidate surname,Candidate First Name,Result,Count Number,Non-Transferable,Occurred On Count,Required To Reach Quota,Required To Save Deposit,Transfers,Votes,Total Votes,Candidate Id,,
Left,B,Bob,Excluded,12,,8,0,,0,3000,0,7,,
Left,B,Bob,,13,,8,0,,0,3000,0,7,,
Left,B,Beatrice,,1,,,18101,,0,650,650,8,,
Left,B,Beatrice,,2,,,18101,,0,650,650,8,,
Left,B,Beatrice,Excluded,3,,3,0,,-650,650,0,8,,
Left,B,Beatrice,Excluded,4,,3,0,,0,650,0,8,,
Left,B,Beatrice,Excluded,5,,3,0,,0,650,0,8,,
Left,B,Beatrice,Excluded,6,,3,0,,0,650,0,8,,
Left,B,Beatrice,Excluded,7,,3,0,,0,650,0,8,,
Left,B,Beatrice,Excluded,8,,3,0,,0,650,0,8,,
Left,B,Beatrice,Excluded,9,,3,0,,0,650,0,8,,
Left,B,Beatrice,Excluded,10,,3,0,,0,650,0,8,,
Left,B,Beatrice,Excluded,11,,3,0,,0,650,0,8,,
Left,B,Beatrice,Excluded,12,,3,0,,0,650,0,8,,
Left,B,Beatrice,Excluded,13,,3,0,,0,650,0,8,,
Ind,C,Catriona,,1,,,8751,,,10000,10000,9,,
Ind,C,Catriona,,2,,,8751,,,10000,10000,9,,
Ind,C,Catriona,,3,,,8651,,100,10000,10100,9,,
Ind,C,Catriona,,4,,,8651,,,10000,10100,9,,
Ind,C,Catriona,,5,,,8651,,,10000,10100,9,,
Ind,C,Catriona,,6,,,8651,,,10000,10100,9,,
Ind,C,Catriona,,7,,,7801,,800,10000,10900,9,,
Ind,C,Catriona,,8,,,7801,,1100,10000,"12,000",9,,
Ind,C,Catriona,,9,,,7801,,0,10000,"12,000",9,,
Ind,C,Catriona,,10,,,5891,,900,10000,"12,900",9,,
Ind,C,Catriona,,11,,,2791,,3100,10000,"16,000",9,,
Ind,C,Catriona,,12,,,1291,,1500,10000,"17,500",9,,
Ind,C,Catriona,Elected,13,,13,0,,1300,10000,"18,800",9,,
Ind,C,Charlie,,1,,,15751,,0,3000,3000,10,,
Ind,C,Charlie,,2,,,15751,,0,3000,3500,10,,
Ind,C,Charlie,,3,,,15701,,50,3000,3050,10,,
Ind,C,Charlie,,4,,,15701,,0,3000,3050,10,,
Ind,C,Charlie,,5,,,15701,,0,3000,3050,10,,
Ind,C,Charlie,,6,,,15701,,0,3000,3050,10,,
Ind,C,Charlie,Excluded,7,,7,0,,-3950,3500,0,10,,
Ind,C,Charlie,Excluded,8,,7,0,,0,3500,0,10,,
Ind,C,Charlie,Excluded,9,,7,0,,0,3500,0,10,,
Ind,C,Charlie,Excluded,10,,7,0,,0,3500,0,10,,
Ind,C,Charlie,Excluded,11,,7,0,,0,,0,10,,
Ind,C,Charlie,Excluded,12,,7,0,,0,,0,10,,
Ind,C,Charlie,Excluded,13,,7,0,,0,,0,10,,
Ind,C,Chloe,,1,,,16551,,0,2200,2200,11,,
Ind,C,Chloe,,2,,,16551,,0,2200,2200,11,,
Ind,C,Chloe,,3,,,16551,,0,2200,2200,11,,
Ind,C,Chloe,,4,,,16501,,50,2200,2250,11,,
Ind,C,Chloe,,5,,,16291,,210,2200,2460,11,,
Ind,C,Chloe,Excluded,6,,6,0,,-2460,2200,0,11,,
Ind,C,Chloe,Excluded,7,,6,0,,0,2200,0,11,,
Ind,C,Chloe,Excluded,8,,6,0,,0,2200,0,11,,
Ind,C,Chloe,Excluded,9,,6,0,,0,2200,0,11,,
Ind,C,Chloe,Excluded,10,,6,0,,0,2200,0,11,,
Ind,C,Chloe,Excluded,11,,6,0,,0,2200,0,11,,
Ind,C,Chloe,Excluded,12,,6,0,,0,2200,0,11,,
Ind,C,Chloe,Excluded,13,,6,0,,0,2200,0,11,,
Ind,C,Cora,,1,, ,16251,,0,2500,2500,12,,
Ind,C,Cora,,2,,,16251,,0,2500,2500,12,,
Ind,C,Cora,,3,,,16251,,0,2500,2500,12,,
Ind,C,Cora,,4,,,16051,,100,2500,2600,12,,
Ind,C,Cora,,5,,,15851,,200,2500,2800,12,,
Ind,C,Cora,,6,,,15001,,850,2500,3650,12,,
Ind,C,Cora,,7,,,15001,,0,2500,0,12,,
Ind,C,Cora,,8,,,14051,,950,2500,4600,12,,
Ind,C,Cora,,9,,,13051,,1000,2500,5600,12,,
Ind,C,Cora,Excluded,10,,10,0,,-5600,2500,0,12,,
Ind,C,Cora,Excluded,11,,10,0,,0,2500,0,12,,
Ind,C,Cora,Excluded,12,,10,0,,0,2500,0,12,,
Ind,C,Cora,Excluded,13,,10,0,,0,2500,0,12,,
More Right,D,Declan,,1,, ,14751,,0,4000,4000,13,,
More Right,D,Declan,,2,,,14751,,0,4000,4000,13,,
More Right,D,Declan,,3,,,14751,,200,4000,4200,13,,
More Right,D,Declan,,4,,,14351,,200,4000,4400,13,,
More Right,D,Declan,,5,,,13701,,650,4000,5050,13,,
More Right,D,Declan,,6,,,13201,,500,4000,5550,13,,
More Right,D,Declan,,7,,,13201,,0,4000,5550,13,,
More Right,D,Declan,,8,,,12201,,1000,4000,6550,13,,
More Right,D,Declan,,9,,,10701,,1500,4000,8050,13,,
More Right,D,Declan,,10,,,8501,,2200,4000,10250,13,,
More Right,D,Declan,,11,,,8501,,0,4000,10300,13,,
More Right,D,Declan,,12,,,8251,,200,4000,10500,13,,
More Right,D,Declan,Excluded,13,,13,0,,6000,4000,16500,13,,
More Right,D,Dennis,,1,,,16751,,0,2000,2000,14,,
More Right,D,Dennis,,2,,,16751,,0,2000,2000,14,,
More Right,D,Dennis,,3,,,16751,,160,2000,2160,14,,
More Right,D,Dennis,,4,,,16591,,0,1000,2160,14,,
More Right,D,Dennis,Excluded,5,,5,0,,-2160,1000,0,14,,
More Right,D,Dennis,Excluded,6,,5,0,,0,1000,0,14,,
More Right,D,Dennis,Excluded,7,,5,0,,0,1000,0,14,,
More Right,D,Dennis,Excluded,8,,5,0,,0,1000,0,14,,
More Right,D,Dennis,Excluded,9,,5,0,,0,1000,0,14,,
More Right,D,Dennis,Excluded,10,,5,0,,0,1000,0,14,,
More Right,D,Dennis,Excluded,11,,5,0,,0,1000,0,14,,
More Right,D,Dennis,Excluded,12,,5,0,,0,1000,0,14,,
More Right,D,Dennis,Excluded,13,,5,0,,0,1000,0,14,,
More Right,D,Drew,,1,,,16501,,0,2250,2250,15,,
More Right,D,Drew,,2,,,16501,,0,2250,2250,15,,
More Right,D,Drew,,3,,,16501,,350,2250,2600,15,,
More Right,D,Drew,,4,,,16251,,50,3000,2650,15,,
More Right,D,Drew,,5,,,15701,,550,3000,3200,15,,
More Right,D,Drew,,6,,,15301,,400,3000,3600,15,,
More Right,D,Drew,,7,,,0,,0,3000,3600,15,,
More Right,D,Drew,Excluded,8,,8,0,,-3600,3000,0,15,,
More Right,D,Drew,Excluded,9,,8,0,,0,3000,0,15,,
More Right,D,Drew,Excluded,10,,8,0,,0,3000,0,15,,
More Right,D,Drew,Excluded,11,,8,0,,0,3000,0,15,,
More Right,D,Drew,Excluded,12,,8,0,,0,3000,0,15,,
More Right,D,Drew,Excluded,13,,8,0,,0,3000,0,15,,
More Right,D,Donald,,1,,,18001,,0,750,750,16,,
More Right,D,Donald,,2,,,18001,,0,750,750,16,,
More Right,D,Donald,Excluded,3,,3,18001,,-750,750,0,16,,
More Right,D,Donald,Excluded,4,,3,0,,0,750,0,16,,
More Right,D,Donald,Excluded,3,,3,0,,0,750,0,16,,
More Right,D,Donald,Excluded,6,,3,0,,0,750,0,16,,
More Right,D,Donald,Excluded,7,,3,0,,0,750,0,16,,
More Right,D,Donald,Excluded,8,,3,0,,0,750,0,16,,
More Right,D,Donald,Excluded,9,,3,0,,0,750,0,16,,
More Right,D,Donald,Excluded,10,,3,0,,0,750,0,16,,
More Right,D,Donald,Excluded,11,,3,0,,0,750,0,16,,
More Right,D,Donald,Excluded,12,,3,0,,0,750,0,16,,
More Right,D,Donald,Excluded,13,,3,0,,,750,0,16,,
